,file,bytes,name,instrument,percussion,note,octave,pitch,length,dynamic,style
6307,oboe/oboe_B3_1_mezzo-forte_normal.mp3,16510,oboe_B3_1_mezzo-forte_normal,oboe,False,B,3.0,246.94,1,mezzo-forte,normal
6308,oboe/oboe_As3_05_mezzo-forte_normal.mp3,12121,oboe_As3_05_mezzo-forte_normal,oboe,False,A#,3.0,233.08,05,mezzo-forte,normal
6309,oboe/oboe_C4_1_fortissimo_normal.mp3,16510,oboe_C4_1_fortissimo_normal,oboe,False,C,4.0,261.63,1,fortissimo,normal
6310,oboe/oboe_C6_15_mezzo-forte_normal.mp3,22465,oboe_C6_15_mezzo-forte_normal,oboe,False,C,6.0,1046.5,15,mezzo-forte,normal
6311,oboe/oboe_Ds6_05_piano_normal.mp3,13688,oboe_Ds6_05_piano_normal,oboe,False,D#,6.0,1244.51,05,piano,normal
6312,oboe/oboe_C4_05_piano_normal.mp3,13687,oboe_C4_05_piano_normal,oboe,False,C,4.0,261.63,05,piano,normal
6313,oboe/oboe_G5_1_forte_normal.mp3,14942,oboe_G5_1_forte_normal,oboe,False,G,5.0,783.99,1,forte,normal
6314,oboe/oboe_F5_05_piano_normal.mp3,13375,oboe_F5_05_piano_normal,oboe,False,F,5.0,698.46,05,piano,normal
6315,oboe/oboe_Fs4_05_fortissimo_normal.mp3,13688,oboe_Fs4_05_fortissimo_normal,oboe,False,F#,4.0,369.99,05,fortissimo,normal
6316,oboe/oboe_D5_1_fortissimo_normal.mp3,14315,oboe_D5_1_fortissimo_normal,oboe,False,D,5.0,587.33,1,fortissimo,normal
6317,oboe/oboe_C5_05_mezzo-forte_normal.mp3,14002,oboe_C5_05_mezzo-forte_normal,oboe,False,C,5.0,523.25,05,mezzo-forte,normal
6318,oboe/oboe_B3_15_forte_normal.mp3,22779,oboe_B3_15_forte_normal,oboe,False,B,3.0,246.94,15,forte,normal
6319,oboe/oboe_E5_025_mezzo-forte_normal.mp3,7105,oboe_E5_025_mezzo-forte_normal,oboe,False,E,5.0,659.26,025,mezzo-forte,normal
6320,oboe/oboe_Gs4_1_forte_normal.mp3,14315,oboe_Gs4_1_forte_normal,oboe,False,G#,4.0,415.3,1,forte,normal
6321,oboe/oboe_A5_1_forte_normal.mp3,17450,oboe_A5_1_forte_normal,oboe,False,A,5.0,880.0,1,forte,normal
6322,oboe/oboe_As4_05_fortissimo_normal.mp3,14315,oboe_As4_05_fortissimo_normal,oboe,False,A#,4.0,466.16,05,fortissimo,normal
6323,oboe/oboe_G6_1_forte_normal.mp3,14942,oboe_G6_1_forte_normal,oboe,False,G,6.0,1567.98,1,forte,normal
6324,oboe/oboe_D5_05_mezzo-forte_normal.mp3,11494,oboe_D5_05_mezzo-forte_normal,oboe,False,D,5.0,587.33,05,mezzo-forte,normal
6325,oboe/oboe_B3_phrase_mezzo-forte_normal.mp3,149734,oboe_B3_phrase_mezzo-forte_normal,oboe,False,B,3.0,246.94,phrase,mezzo-forte,normal
6326,oboe/oboe_Fs4_05_piano_normal.mp3,12747,oboe_Fs4_05_piano_normal,oboe,False,F#,4.0,369.99,05,piano,normal
6327,oboe/oboe_D6_15_mezzo-forte_normal.mp3,21525,oboe_D6_15_mezzo-forte_normal,oboe,False,D,6.0,1174.66,15,mezzo-forte,normal
